timestamp,dateofrequest,inquirytype,howcontacted,researchtype,servicetimeminutes,datecompleted
2019-07-11 14:19:47,2019-07-11,Public,Email,Transcript request/Education verification,10,2019-07-11
2019-07-11 15:06:25,2019-07-11,Public,In Person,Legal research,70,2019-07-11
2019-07-11 15:18:33,2019-07-11,Public,Telephone,Transcript request/Education verification,20,2019-07-11
2019-07-11 15:30:27,2019-07-11,City Government Department,Email,Vital records,10,2019-07-11
2019-07-11 16:19:13,2019-07-11,Public,Telephone,Building or landscape research,5,2019-07-11
2019-07-11 16:27:28,2019-07-11,Public,Email,Building or landscape research,40,2019-07-11
2019-07-12 10:11:19,2019-07-09,Public,Email,Genealogy,10,2019-07-12
2019-07-12 14:41:24,2019-07-12,Public,In Person,Legal research,150,2019-07-12
2019-07-12 15:36:30,2019-07-12,Public,Telephone,General historical research,15,2019-07-12
2019-07-12 15:50:24,2019-07-12,City Government Department,Email,Vital records,15,2019-07-12
2019-07-15 10:56:06,2019-07-15,City Government Department,Email,Transcript request/Education verification,10,2019-07-15
2019-07-15 12:14:28,2019-07-12,City Government Department,,General historical research,120,2019-07-15
2019-07-15 12:31:45,2019-07-14,Public,Email,General historical research,60,2019-07-15
2019-07-15 13:07:47,2019-07-15,Public,Email,Book or academic article,10,2019-07-15
2019-07-15 13:11:33,2019-07-15,Public,Email,Building or landscape research,5,2019-07-15
2019-07-15 13:31:58,2019-07-15,Public,Telephone,General historical research,5,2019-07-15
2019-07-15 15:58:37,2019-07-15,Public,Telephone,Vital records,5,2019-07-15
2019-07-16 9:10:34,2019-07-16,Public,Email,Genealogy,10,2019-07-16
2019-07-16 9:54:22,2019-07-16,Public,Telephone,Transcript request/Education verification,5,2019-07-16
2019-07-16 14:57:59,2019-07-16,Public,In Person,Legal research,20,2019-07-16
2019-07-16 14:58:38,2019-07-16,Public,In Person,General historical research,90,2019-07-16
2019-07-16 15:03:04,2019-07-16,Public,In Person,General historical research,120,2019-07-16
2019-07-16 16:36:46,2019-07-16,City Government Department,Email,General historical research,20,2019-07-16
2019-07-17 9:54:55,2019-07-16,City Government Department,Email,General historical research,20,2019-07-17
2019-07-17 10:17:24,2019-07-17,City Government Department,Email,General historical research,20,2019-07-17
2019-07-17 10:35:22,2019-07-16,Public,Email,Transcript request/Education verification,25,2019-07-17
2019-07-17 10:45:17,2019-07-17,Public,Email,Vital records,5,2019-07-17
2019-07-17 11:16:34,2019-07-11,Public,Email,Legal research,10,2019-07-11
2019-07-17 11:20:37,2019-07-12,Public,Email,General historical research,30,2019-07-12
2019-07-17 14:45:23,2019-07-17,Public,In Person,Genealogy,40,2019-07-17
2019-07-17 15:25:38,2019-07-17,Public,Email,Genealogy,5,2019-07-17
2019-07-17 15:33:40,2019-07-17,Public,Email,Genealogy,5,2019-07-17
2019-07-17 15:58:39,2019-07-17,Public,Email,Building or landscape research,5,2019-07-17
2019-07-18 10:13:57,2019-07-18,City Government Department,Email,Secondary school academic research,5,2019-07-18
2019-07-18 11:08:05,2019-07-18,Public,Telephone,Transcript request/Education verification,5,2019-07-18
2019-07-18 14:47:38,2019-07-18,Public,Email,Transcript request/Education verification,20,2019-07-18
2019-07-18 15:08:37,2019-07-17,Public,Email,Genealogy,30,2019-07-18
2019-07-19 8:43:07,2019-07-18,Public,Email,Transcript request/Education verification,10,2019-07-18
2019-07-19 9:14:52,2019-07-19,Public,Telephone,Vital records,5,2019-07-19
2019-07-19 9:34:41,2019-07-18,Public,Telephone,General historical research,15,2019-07-19
2019-07-19 10:18:42,2019-07-18,Public,In Person,Legal research,180,2019-07-19
2019-07-19 10:20:19,2019-07-18,Public,Email,General historical research,20,2019-07-19
2019-07-19 10:58:53,2019-07-19,Public,Telephone,General historical research,5,2019-07-19
2019-07-19 11:27:13,2019-07-19,City Government Department,Email,Transcript request/Education verification,5,2019-07-19
2019-07-19 11:42:34,2019-07-19,Public,In Person,legal research,60,2019-07-19
2019-07-19 15:43:25,2019-07-19,Public,Telephone,Legal research,20,2019-07-19
2019-07-19 15:58:48,2019-07-19,Public,In Person,Legal research,200,2019-07-19
2019-07-19 16:01:47,2019-07-19,Public,Telephone,Vital records,5,2019-07-19
2019-07-22 9:33:41,2019-07-21,Public,Email,Transcript request/Education verification,5,2019-07-22
2019-07-22 9:36:48,2019-07-21,Public,Email,Genealogy,10,2019-07-22
2019-07-22 11:22:40,2019-07-22,Public,Telephone,Other,5,2019-07-22
2019-07-22 12:58:47,2019-07-22,Public,Email,Genealogy,5,2019-07-22
2019-07-22 13:16:37,2019-07-19,City Government Department,Email,Vital records,10,2019-07-22
2019-07-22 14:21:48,2019-07-22,Public,Email,Graduate academic research,5,2019-07-22
2019-07-23 10:22:29,2019-07-22,Public,In Person,Graduate academic research,150,2019-07-23
2019-07-23 10:47:49,2019-07-23,Public,Telephone,General historical research,5,2019-07-23
2019-07-23 12:28:34,2019-07-22,Public,Email,Transcript request/Education verification,120,2019-07-23
2019-07-23 15:35:30,2019-07-23,Public,In Person,Graduate academic research,310,2019-07-23
2019-07-23 15:37:13,2019-07-23,Public,Telephone,Transcript request/Education verification,5,2019-07-23
2019-07-23 16:19:00,2019-07-18,Public,Mail,Transcript request/Education verification,20,2019-07-23
2019-07-23 16:57:25,2019-07-23,City Government Department,Email,Transcript request/Education verification,5,2019-07-23
2019-07-24 9:50:27,2019-07-24,Public,Email,Building or landscape research,5,2019-07-24
2019-07-24 9:57:31,2019-07-23,Public,Email,Transcript request/Education verification,40,2019-07-24
2019-07-24 13:16:36,2019-07-24,Public,Telephone,Building or landscape research,5,2019-07-24
2019-07-24 13:47:20,2019-07-24,Public,Telephone,Building or landscape research,10,2019-07-24
2019-07-24 14:33:02,2019-07-24,Public,Telephone,Transcript request/Education verification,5,2019-07-24
2019-07-24 15:32:55,2019-07-24,Public,Telephone,Legal research,5,2019-07-24
2019-07-24 15:34:29,2019-07-24,City Government Department,Email,Legal research,5,2019-07-24
2019-07-24 15:43:19,2019-07-24,Public,In Person,Graduate academic research,330,2019-07-24
2019-07-24 16:29:03,2019-07-24,City Government Department,Email,Building or landscape research,20,2019-07-24
2019-07-25 9:27:02,2019-07-22,Public,Email,Building or landscape research,30,2019-07-22
2019-07-25 9:29:52,2019-07-24,Public,Email,Building or landscape research,30,2019-07-25
2019-07-25 9:32:44,2019-07-24,Public,Email,Building or landscape research,15,2019-07-25
2019-07-25 9:41:39,2019-07-25,Public,Email,Building or landscape research,5,2019-07-25
2019-07-25 10:50:19,2019-07-25,City Government Department,In Person,Legal research,20,2019-07-25
2019-07-25 15:11:08,2019-07-25,City Government Department,Email,Transcript request/Education verification,5,2019-07-25
2019-07-25 15:49:46,2019-07-22,Public,Telephone,Genealogy,20,2019-07-25
2019-07-25 16:06:35,2019-07-25,Public,In Person,Graduate academic research,335,2019-07-25
2019-07-25 16:27:47,2019-07-24,Public,Telephone,Transcript request/Education verification,5,2019-07-24
2019-07-25 16:28:50,2019-07-23,Public,Telephone,Genealogy,10,2019-07-23
2019-07-25 16:30:01,2019-07-25,Public,In Person,Graduate academic research,420,2019-07-25
2019-07-25 16:30:37,2019-07-23,Public,Telephone,General historical research,10,2019-07-23
2019-07-25 16:48:54,2019-07-25,City Government Department,Email,Transcript request/Education verification,5,2019-07-25
2019-07-26 9:12:50,2019-07-23,Public,Social Media,General historical research,10,2019-07-26
2019-07-26 10:58:27,2019-07-26,Public,Email,General historical research,15,2019-07-26
2019-07-26 11:36:52,2019-07-25,City Government Department,In Person,Legal research,120,2019-07-26
2019-07-26 11:41:07,2019-07-26,Public,Telephone,Building or landscape research,5,2019-07-26
2019-07-26 11:41:57,2019-07-25,Public,Mail,Genealogy,10,2019-07-26
2019-07-26 12:19:28,2019-07-26,City Government Department,Email,Transcript request/Education verification,10,2019-07-26
2019-07-26 14:48:01,2019-07-26,Public,Email,Genealogy,5,2019-07-26
2019-07-26 16:18:38,2019-07-26,Public,Telephone,Genealogy,10,2019-07-26
2019-07-26 16:21:39,2019-07-26,Public,In Person,Genealogy,180,2019-07-26
2019-07-26 16:27:09,2019-07-26,Public,In Person,Graduate academic research,420,2019-07-26
2019-07-29 9:12:06,2019-07-29,Public,Telephone,Vital records,5,2019-07-29
2019-07-29 9:13:25,2019-07-29,Public,Telephone,General historical research,10,2019-07-29
2019-07-29 10:49:13,2019-07-29,Public,Email,Transcript request/Education verification,30,2019-07-29
2019-07-29 10:55:32,2019-07-25,Public,Email,Building or landscape research,20,2019-07-29
2019-07-29 10:59:44,2019-07-26,Public,Email,Genealogy,20,2019-07-29
2019-07-29 11:41:53,2019-07-26,City Government Department,Telephone,Legal research,120,2019-07-29
2019-07-29 12:24:35,2019-07-29,Public,Email,Transcript request/Education verification,15,2019-07-29
2019-07-29 12:39:47,2019-07-29,City Government Department,Email,Legal research,30,2019-07-29
2019-07-29 13:18:30,2019-07-29,Public,Telephone,General historical research,5,2019-07-29
2019-07-29 13:55:43,2019-07-29,Public,Telephone,General historical research,5,2019-07-29
2019-07-29 13:57:07,2019-07-29,Public,Telephone,Vital records,5,2019-07-29
2019-07-29 15:50:59,2019-07-29,Public,Email,Transcript request/Education verification,10,2019-07-29
2019-07-29 15:52:39,2019-07-29,Public,Email,Transcript request/Education verification,5,2019-07-29
2019-07-30 10:02:26,2019-07-25,Public,Email,Building or landscape research,10,2019-07-30
2019-07-30 10:48:34,2019-07-29,Public,Email,Transcript request/Education verification,10,2019-07-30
2019-07-30 11:02:45,2019-07-30,Public,In Person,General historical research,45,2019-07-30
2019-07-30 11:11:51,2019-07-29,Public,In Person,Graduate academic research,360,2019-07-29
2019-07-30 12:23:41,2019-07-30,Public,In Person,General historical research,180,2019-07-30
2019-07-30 12:56:48,2019-07-30,Public,In Person,General historical research,60,2019-07-30
2019-07-30 14:13:51,2019-07-25,Public,Email,Genealogy,20,2019-07-30
2019-07-31 9:18:48,2019-07-30,Public,Email,Building or landscape research,10,2019-07-31
2019-07-31 9:29:46,2019-07-30,Public,In Person,Graduate academic research,420,2019-07-30
2019-07-31 9:42:50,2019-07-30,Public,Email,Vital records,5,2019-07-31
2019-07-31 10:45:07,2019-07-31,City Government Department,Email,Transcript request/Education verification,5,2019-07-31
2019-07-31 10:52:37,2019-07-31,Public,In Person,General historical research,70,2019-07-31
2019-07-31 11:10:49,2019-07-31,Public,Email,Film (documentary or feature),10,2019-07-31
2019-07-31 12:26:44,2019-07-31,Public,Telephone,Genealogy,15,2019-07-31
2019-07-31 13:27:31,2019-07-31,Public,Telephone,Vital records,5,2019-07-31
2019-07-31 15:46:40,2019-07-31,Public,Telephone,General historical research,30,2019-07-31
2019-07-31 15:49:33,2019-07-30,Public,Telephone,Genealogy,60,2019-07-31
2019-07-31 15:53:56,2019-07-30,Public,Telephone,Building or landscape research,60,2019-07-31
2019-07-31 15:57:00,2019-07-30,Public,Email,Transcript request/Education verification,20,2019-07-31
2019-08-01 11:21:21,2019-07-31,City Government Department,Email,Building or landscape research,20,2019-08-01
2019-08-01 11:23:56,2019-07-31,Public,Email,Graduate academic research,60,2019-08-01
2019-08-01 12:00:18,2019-08-01,State Government Department,Email,Transcript request/Education verification,10,2019-08-01
2019-08-01 14:19:13,2019-08-01,Public,Telephone,Vital records,5,2019-08-01
2019-08-01 15:02:23,2019-08-01,Public,Telephone,Graduate academic research,5,2019-08-01
2019-08-01 16:22:37,2019-08-01,Public,Email,General historical research,10,2019-08-01
2019-08-02 12:34:55,2019-08-02,Public,In Person,Graduate academic research,210,2019-08-02
2019-08-02 14:02:57,2019-08-02,Public,Telephone,General historical research,5,2019-08-02
2019-08-02 14:48:55,2019-08-02,City Government Department,Email,Transcript request/Education verification,20,2019-08-02
2019-08-02 14:51:37,2019-08-02,City Government Department,Email,Legal research,120,2019-08-02
2019-08-02 15:13:14,2019-08-02,Public,In Person,Building or landscape research,75,2019-08-02
2019-08-02 15:58:29,2019-08-02,City Government Department,Email,Legal research,15,2019-08-02
2019-08-05 12:31:27,2019-08-02,Public,Email,Transcript request/Education verification,45,2019-08-05
2019-08-05 12:33:37,2019-08-04,Public,Email,Transcript request/Education verification,30,2019-08-05
2019-08-05 12:49:30,2019-08-03,Public,Email,Genealogy,5,2019-08-05
2019-08-05 12:58:15,2019-08-05,Public,Telephone,General historical research,5,2019-08-05
2019-08-05 13:46:18,2019-08-05,City Government Department,Email,Vital records,30,2019-08-05
2019-08-06 10:08:22,2019-08-06,Public,Email,Transcript request/Education verification,10,2019-08-06
2019-08-06 10:11:11,2019-08-06,Public,Telephone,Transcript request/Education verification,10,2019-08-06
2019-08-06 12:24:02,2019-08-05,Public,Email,Building or landscape research,15,2019-08-06
2019-08-06 12:32:00,2019-08-05,Public,Email,Building or landscape research,30,2019-08-06
2019-08-06 13:40:40,2019-08-06,City Government Department,Email,Vital records,15,2019-08-06
2019-08-06 14:18:22,2019-08-05,Public,Telephone,General historical research,25,2019-08-06
2019-08-06 15:29:12,2019-08-06,Public,Email,Transcript request/Education verification,5,2019-08-06
2019-08-07 9:56:08,2019-08-01,Public,Email,Building or landscape research,10,2019-08-01
2019-08-07 9:57:22,2019-08-02,Public,Email,General historical research,5,2019-08-07
2019-08-07 9:58:18,2019-08-02,Federal Government Department,Email,General historical research,10,2019-08-07
2019-08-07 9:59:46,2019-08-05,Public,Email,Graduate academic research,10,2019-08-05
2019-08-07 10:16:12,2019-08-05,Public,Email,Book or academic article,20,2019-08-07
2019-08-07 10:26:11,2019-08-07,Public,Telephone,Transcript request/Education verification,5,2019-08-07
2019-08-07 10:52:44,2019-08-06,Public,Email,Transcript request/Education verification,10,2019-08-07
2019-08-07 10:56:18,2019-08-06,Public,Email,Transcript request/Education verification,20,2019-08-07
2019-08-07 11:12:34,2019-08-06,City Government Department,Email,Building or landscape research,25,2019-08-07
2019-08-07 11:15:02,2019-08-07,Public,Telephone,Transcript request/Education verification,5,2019-08-07
2019-08-07 11:50:54,2019-08-02,Public,Email,Book or academic article,5,2019-08-07
2019-08-07 11:53:47,2019-08-07,Public,Email,Book or academic article,5,2019-08-07
2019-08-07 12:30:49,2019-08-07,City Government Department,Email,General historical research,5,2019-08-07
2019-08-07 12:38:35,2019-08-06,Public,Email,Building or landscape research,5,2019-08-07
2019-08-07 13:05:17,2019-08-07,Public,Email,Environmental research,20,2019-08-07
2019-08-07 13:29:54,2019-08-07,City Government Department,Email,Building or landscape research,30,2019-08-07
2019-08-07 14:13:15,2019-08-01,Public,Telephone,Genealogy,10,2019-08-07
2019-08-07 14:15:47,2019-08-07,Public,In Person,Legal research,240,2019-08-07
2019-08-07 14:16:48,2019-08-07,Public,Email,Building or landscape research,10,2019-08-07
2019-08-07 15:21:21,2019-08-07,Public,Telephone,General historical research,5,2019-08-07
2019-08-08 10:41:32,2019-08-07,Public,Email,Building or landscape research,20,2019-08-08
2019-08-08 10:45:09,2019-08-08,City Government Department,Email,Building or landscape research,15,2019-08-08
2019-08-08 10:47:15,2019-08-07,Public,Email,Transcript request/Education verification,10,2019-08-08
2019-08-08 11:36:34,2019-08-08,Public,Telephone,Other,5,2019-08-08
2019-08-08 13:16:22,2019-08-08,Public,Telephone,Legal research,5,2019-08-08
2019-08-08 14:46:32,2019-08-08,Public,In Person,Legal research,150,2019-08-08
2019-08-08 14:49:41,2019-08-08,Public,In Person,Building or landscape research,240,2019-08-08
2019-08-08 14:54:03,2019-08-08,City Government Department,Email,Building or landscape research,10,2019-08-08
2019-08-08 14:57:57,2019-08-07,Public,Email,Book or academic article,20,2019-08-08
2019-08-08 15:31:20,2019-08-08,Public,In Person,Graduate academic research,210,2019-08-08
2019-08-08 15:32:39,2019-08-08,Public,Telephone,Genealogy,10,2019-08-08
2019-08-08 15:35:48,2019-08-07,Public,Telephone,Building or landscape research,20,2019-08-08
2019-08-08 16:17:30,2019-08-08,Public,Email,Building or landscape research,5,2019-08-08
2019-08-09 9:16:33,2019-08-09,Public,Email,Genealogy,10,2019-08-09
2019-08-09 9:19:31,2019-08-08,Public,Email,Building or landscape research,5,2019-08-09
2019-08-09 9:41:33,2019-08-09,Public,Email,Building or landscape research,15,2019-08-09
2019-08-09 10:17:23,2019-08-09,Public,Email,Book or academic article,20,2019-08-09
2019-08-09 11:08:39,2019-08-09,Public,In Person,Book or academic article,40,2019-08-09
2019-08-12 9:52:21,2019-08-12,City Government Department,Email,Legal research,20,2019-08-12
2019-08-12 10:19:43,2019-08-09,Public,Email,Genealogy,15,2019-08-12
2019-08-12 11:13:38,2019-08-12,City Government Department,Email,Legal research,10,2019-08-12
2019-08-12 11:36:54,2019-08-09,Public,Email,General historical research,60,2019-08-12
2019-08-12 11:38:48,2019-08-12,Public,Telephone,Transcript request/Education verification,10,2019-08-12
2019-08-12 12:13:09,2019-08-12,Public,Telephone,Genealogy,5,2019-08-12
2019-08-12 13:17:26,2019-08-12,Public,Email,Genealogy,10,2019-08-12
2019-08-12 13:33:54,2019-08-12,Public,Email,Transcript request/Education verification,15,2019-08-12
2019-08-12 13:53:56,2019-08-12,City Government Department,Email,Building or landscape research,20,2019-08-12
2019-08-12 15:06:41,2019-08-12,Public,Telephone,Genealogy,5,2019-08-12
2019-08-12 15:09:11,2019-08-09,Public,Email,Genealogy,25,2019-08-12
2019-08-12 15:29:47,2019-08-06,Public,Email,Graduate academic research,10,2019-08-12
2019-08-13 9:48:20,2019-08-13,State Government Department,Email,Legal research,5,2019-08-13
2019-08-13 9:57:20,2019-08-05,Public,Email,Genealogy,15,2019-08-13
2019-08-13 10:02:03,2019-08-13,Public,Email,General historical research,5,2019-08-13
2019-08-13 10:55:26,2019-08-13,Public,Telephone,Book or academic article,10,2019-08-13
2019-08-13 11:15:11,2019-08-13,Public,Telephone,Transcript request/Education verification,5,2019-08-13
2019-08-13 11:38:31,2019-08-13,Public,Email,Environmental research,10,2019-08-13
2019-08-13 11:49:38,2019-08-13,Public,Email,General historical research,20,2019-08-13
2019-08-13 14:03:48,2019-08-13,Public,Email,Transcript request/Education verification,5,2019-08-13
2019-08-13 14:24:10,2019-08-13,Public,In Person,Legal research,150,2019-08-13
2019-08-13 14:37:41,2019-08-13,Public,Telephone,Genealogy,10,2019-08-13
2019-08-13 14:42:26,2019-08-12,Public,Telephone,General historical research,15,2019-08-13
2019-08-14 9:38:18,2019-08-13,Public,Email,General historical research,5,2019-08-14
2019-08-14 9:49:29,2019-08-14,Public,Email,Legal research,5,2019-08-14
2019-08-14 9:57:58,2019-08-14,Public,Email,Genealogy,15,2019-08-14
2019-08-14 10:08:03,2019-08-12,Public,Telephone,Genealogy,20,2019-08-13
2019-08-14 10:08:34,2019-08-14,Public,Email,Building or landscape research,5,2019-08-14
2019-08-14 10:36:38,2019-08-13,Public,Email,Transcript request/Education verification,10,2019-08-14
2019-08-14 11:30:23,2019-08-12,Public,Email,Environmental research,20,2019-08-14
2019-08-14 11:50:42,2019-08-14,Public,Telephone,Transcript request/Education verification,10,2019-08-14
2019-08-14 12:21:15,2019-08-13,Public,Email,Environmental research,25,2019-08-14
2019-08-14 13:19:23,2019-08-14,City Government Department,Email,Building or landscape research,10,2019-08-14
2019-08-14 14:09:50,2019-08-14,Public,Social Media,General historical research,10,2019-08-14
2019-08-14 14:16:21,2019-08-14,Federal Government Department,In Person,General historical research,180,2019-08-14
2019-08-14 14:18:03,2019-08-14,Federal Government Department,In Person,General historical research,180,2019-08-14
2019-08-14 14:27:51,2019-08-14,Public,In Person,,30,2019-08-14
2019-08-14 14:39:56,2019-08-14,Federal Government Department,In Person,General historical research,180,2019-08-14
2019-08-14 14:42:31,2019-08-14,Federal Government Department,In Person,General historical research,180,2019-08-14
2019-08-14 15:24:11,2019-08-14,Public,Telephone,Building or landscape research,20,2019-08-14
2019-08-14 15:33:22,2019-08-14,Public,Email,Other,5,2019-08-14
2019-08-14 16:12:23,2019-08-14,Public,In Person,Graduate academic research,300,2019-08-14
2019-08-14 16:33:17,2019-08-14,Public,Telephone,Building or landscape research,5,2019-08-14
2019-08-15 10:47:17,2019-08-15,City Government Department,Telephone,General historical research,5,2019-08-15
2019-08-15 11:40:03,2019-08-15,City Government Department,Email,General historical research,10,2019-08-15
2019-08-15 12:04:25,2019-08-15,Public,In Person,Building or landscape research,120,2019-08-15
2019-08-15 12:40:09,2019-08-15,State Government Department,Email,Transcript request/Education verification,5,2019-08-15
2019-08-15 13:28:38,2019-08-15,City Government Department,Email,Building or landscape research,15,2019-08-15
2019-08-15 13:42:57,2019-08-14,Public,Telephone,Building or landscape research,30,2019-08-15
2019-08-15 14:57:37,2019-08-15,Public,Email,Transcript request/Education verification,5,2019-08-15
2019-08-15 15:26:56,2019-08-15,Public,Telephone,Copyright inquiry,5,2019-08-15
2019-08-15 15:30:14,2019-08-15,Public,Email,Genealogy,5,2019-08-15
2019-08-15 16:14:20,2019-08-15,Public,Telephone,Copyright inquiry,5,2019-08-15
2019-08-16 12:04:54,2019-08-16,Public,In Person,Environmental research,150,2019-08-16
2019-08-16 12:26:49,2019-08-16,Public,Telephone,Building or landscape research,5,2019-08-16
2019-08-16 14:15:12,2019-08-16,Public,Email,Environmental research,20,2019-08-16
2019-08-16 14:24:08,2019-08-16,Public,Email,Genealogy,5,2019-08-16
2019-08-19 9:12:22,2019-08-18,Public,Email,Building or landscape research,5,2019-08-19
2019-08-19 9:40:19,2019-08-19,Public,Telephone,General historical research,10,2019-08-19
2019-08-19 10:48:32,2019-08-19,Public,Email,Genealogy,5,2019-08-19
2019-08-19 10:50:17,2019-08-01,Public,Email,Graduate academic research,60,2019-08-19
2019-08-19 11:08:40,2019-08-19,Public,Telephone,Building or landscape research,75,2019-08-19
2019-08-19 11:14:53,2019-08-18,Public,Email,Copyright inquiry,5,2019-08-19
2019-08-19 14:36:15,2019-08-19,Public,Email,Building or landscape research,20,2019-08-19
2019-08-19 14:58:33,2019-08-19,Public,Telephone,Legal research,20,2019-08-19
2019-08-19 15:40:27,2019-08-19,Public,Email,General historical research,5,2019-08-19
2019-08-20 10:08:03,2019-08-20,City Government Department,Email,Legal research,15,2019-08-20
2019-08-20 11:11:56,2019-08-20,Public,Email,"Journalism (newspaper, magazine, television, web news source)",20,2019-08-20
2019-08-20 16:32:43,2019-08-20,Public,Telephone,Building or landscape research,1,2019-08-20
2019-08-21 11:32:30,2019-08-21,Public,Telephone,Building or landscape research,10,2019-08-21
2019-08-21 11:46:17,2019-08-20,Public,Email,"Journalism (newspaper, magazine, television, web news source)",45,2019-08-21
2019-08-21 12:17:03,2019-08-21,Public,Email,Transcript request/Education verification,10,2019-08-21
2019-08-21 13:48:52,2019-08-21,Public,Email,Vital records,10,2019-08-21
2019-08-21 15:35:55,2019-08-21,Public,Telephone,Building or landscape research,10,2019-08-21
2019-08-21 16:01:11,2019-08-21,Public,Email,Environmental research,15,2019-08-21
2019-08-21 16:02:36,2019-08-21,Federal Government Department,In Person,General historical research,390,2019-08-21
2019-08-21 16:03:31,2019-08-21,Federal Government Department,In Person,General historical research,390,2019-08-21
2019-08-21 16:03:32,2019-08-21,Public,Email,Environmental research,20,2019-08-21
2019-08-21 16:04:56,2019-08-21,Public,In Person,Legal research,180,2019-08-21
2019-08-22 10:52:13,2019-08-22,City Government Department,Email,General historical research,10,2019-08-22
2019-08-22 11:23:55,2019-08-22,Public,Telephone,Building or landscape research,30,2019-08-22
2019-08-22 11:27:52,2019-08-22,Public,Email,Building or landscape research,10,2019-08-22
2019-08-22 13:48:17,2019-08-22,Public,Email,Book or academic article,10,2019-08-22
2019-08-22 13:54:07,2019-08-22,Public,Email,General historical research,10,2019-08-22
2019-08-22 14:08:12,2019-08-22,Public,Email,Building or landscape research,5,2019-08-22
2019-08-22 14:13:33,2019-08-22,Public,Email,Building or landscape research,5,2019-08-22
2019-08-22 15:49:55,2019-08-22,Public,Telephone,Building or landscape research,5,2019-08-22
2019-08-22 15:50:55,2019-08-22,Public,Telephone,Transcript request/Education verification,5,2019-08-22
2019-08-23 11:45:21,2019-08-23,Public,Telephone,Transcript request/Education verification,5,2019-08-23
2019-08-23 11:46:38,2019-08-23,Public,Email,Building or landscape research,15,2019-08-23
2019-08-23 13:35:05,2019-08-23,Public,Email,General historical research,10,2019-08-23
2019-08-23 13:35:45,2019-08-23,Public,Telephone,Vital records,5,2019-08-23
2019-08-23 14:20:16,2019-08-23,Public,Telephone,Transcript request/Education verification,15,2019-08-23
2019-08-23 16:07:04,2019-08-23,Public,In Person,Book or academic article,150,2019-08-23
2019-08-26 10:15:06,2019-08-23,Public,Email,Building or landscape research,10,2019-08-23
2019-08-26 10:24:57,2019-08-23,Public,Email,General historical research,5,2019-08-26
2019-08-26 11:00:05,2019-08-24,Public,Email,Genealogy,120,2019-08-26
2019-08-26 11:19:10,2019-08-26,Public,Email,Secondary school academic research,5,2019-08-26
2019-08-26 11:54:41,2019-08-26,Federal Government Department,Email,General historical research,5,2019-08-26
2019-08-26 13:35:36,2019-08-26,Public,Email,Building or landscape research,10,2019-08-26
2019-08-26 13:40:29,2019-08-26,Public,Email,Building or landscape research,5,2019-08-26
2019-08-26 14:59:19,2019-08-26,Public,Telephone,Transcript request/Education verification,5,2019-08-26
2019-08-26 15:13:32,2019-08-26,Public,Email,General historical research,40,2019-08-26
2019-08-26 15:40:48,2019-08-26,Public,In Person,Building or landscape research,15,2019-08-26
2019-08-26 15:54:02,2019-08-26,State Government Department,Telephone,Building or landscape research,5,2019-08-26
2019-08-26 16:11:22,2019-08-26,Public,Telephone,Legal research,20,2019-08-26
2019-08-26 16:55:52,2019-08-26,Public,Telephone,Transcript request/Education verification,15,2019-08-26
2019-08-26 16:56:44,2019-08-26,Public,Telephone,Building or landscape research,5,2019-08-26
2019-08-26 16:57:45,2019-08-26,City Government Department,Email,Vital records,15,2019-08-26
2019-08-27 9:03:45,2019-08-26,Public,Email,Transcript request/Education verification,5,2019-08-27
2019-08-27 9:56:24,2019-08-23,Public,Email,Environmental research,30,2019-08-27
2019-08-27 10:29:18,2019-08-27,City Government Department,Telephone,General historical research,40,2019-08-27
2019-08-27 10:38:22,2019-08-27,City Government Department,Email,Vital records,15,2019-08-27
2019-08-27 12:51:25,2019-08-27,Public,In Person,General historical research,45,2019-08-27
2019-08-27 13:18:06,2019-08-27,Public,Telephone,Genealogy,15,2019-08-27
2019-08-27 15:59:55,2019-08-27,Public,Telephone,Transcript request/Education verification,10,2019-08-27
2019-08-27 16:08:55,2019-08-27,Public,Email,Undergraduate academic research,15,2019-08-27
2019-08-27 16:12:18,2019-08-27,Public,Email,Building or landscape research,5,2019-08-27
2019-08-28 9:59:47,2019-08-27,Public,Social Media,,10,2019-08-28
2019-08-28 10:01:21,2019-08-28,Public,Email,Legal research,5,2019-08-28
2019-08-28 10:46:30,2019-08-28,Public,Email,Undergraduate academic research,20,2019-08-28
2019-08-28 11:59:16,2019-08-21,Public,Email,Genealogy,20,2019-08-28
2019-08-28 14:42:50,2019-08-28,City Government Department,Email,Legal research,5,2019-08-28
2019-08-28 15:04:22,2019-08-28,Public,In Person,Graduate academic research,180,2019-08-28
2019-08-28 15:37:22,2019-08-28,City Government Department,Email,Legal research,15,2019-08-28
2019-08-29 10:03:50,2019-08-29,Public,Email,General historical research,10,2019-08-29
2019-08-29 10:05:39,2019-08-29,Public,Email,Genealogy,5,2019-08-29
2019-08-29 11:16:02,2019-08-29,Public,Email,Building or landscape research,5,2019-08-29
2019-08-29 12:04:37,2019-08-29,Public,Telephone,Vital records,5,2019-08-29
2019-08-29 13:21:57,2019-08-29,Public,In Person,Legal research,90,2019-08-29
2019-08-29 14:15:03,2019-08-22,Public,Email,Genealogy,30,2019-08-29
2019-08-29 14:51:30,2019-08-29,Public,Telephone,General historical research,15,2019-08-29
2019-08-29 14:59:09,2019-08-29,Public,Email,General historical research,10,2019-08-29
2019-08-29 15:36:08,2019-08-29,Public,Email,Genealogy,20,2019-08-29
